X0 Y0 helicalID MicrographName ShiftX ShiftY AngleRot AngleTilt AnglePsi
2559.142066 2849.353040 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.487338 0.794338 127.778035 89.231494 151.025094
2451.822645 2791.846814 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.487338 0.794338 127.865587 88.559891 151.493816
2451.503224 2792.340587 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.314088 1.621088 127.865587 88.559891 151.493816
2343.183802 2733.834360 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.794338 1.140838 127.601874 88.485397 151.259546
2343.864381 2733.328133 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.621088 1.140838 127.513945 88.410811 151.142393
2289.544960 2704.821906 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 5.794338 3.140838 128.036370 78.790502 150.556800
2235.225539 2675.315679 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 1.314088 1.967588 128.131858 93.710210 151.493764
2180.906118 2647.809452 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -0.68591 -0.68591 123.922851 110.881572 149.973992
2128.586697 2619.303225 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 2.621088 4.140838 128.834815 93.410857 151.493474
2071.267275 2591.796998 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -0.85916 1.314088 132.346386 85.045378 154.656125
2018.947854 2560.290771 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 1.487338 0.487338 129.186742 94.158377 152.313670
1964.628433 2534.784544 1 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 1.621088 -0.03241 129.449849 93.036932 153.133840
368.052214 3790.296253 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -1.03241 -2.20566 -6.87090 101.299384 62.046284
429.687373 3680.452137 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -3.37891 -2.03241 -8.18915 98.346429 61.693916
460.322533 3626.608022 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -4.68591 -1.03241 -5.46435 99.479279 60.406593
460.957692 3626.763906 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.967588 0.314088 -23.21677 86.450370 60.864401
489.592851 3568.919790 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.487338 -2.68591 -22.51327 84.804337 60.864785
519.228011 3514.075674 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -5.03241 -2.68591 -6.51951 104.205953 61.929275
581.863170 3405.231559 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -2.03241 -2.68591 -6.60700 98.799199 59.116801
612.498329 3351.387443 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -2.51266 -1.68591 -1.50887 100.160782 62.635714
612.133488 3352.543327 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -1.68591 -3.85916 -1.77258 100.539923 58.885541
642.768648 3299.699211 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -1.51266 -0.51266 -7.13458 101.071246 60.053930
704.403807 3188.855096 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -1.20566 -5.20566 -6.95883 101.679976 60.171221
737.038966 3133.010980 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -1.37891 -2.37891 -6.16806 106.371278 61.812276
769.674126 3082.166864 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -2.20566 3.967588 -7.74993 101.451490 60.756650
769.309285 3081.322748 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -0.20566 -0.68591 -7.22247 100.843299 59.116377
831.944444 2974.478633 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -3.68591 2.794338 -8.27725 100.539556 59.232889
830.579604 2973.634517 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -4.51266 1.967588 -8.18936 100.615449 59.350131
847.214763 2947.790401 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -3.20566 2.314088 -7.92565 100.539588 58.881553
878.849922 2897.946285 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -2.68591 2.487338 -1.24530 108.876066 56.542102
925.485082 2816.102170 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -0.20566 -3.68591 -6.34456 114.825004 58.296292
939.120241 2791.258054 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -4.51266 0.314088 15.018116 109.585793 65.342091
986.755400 2705.413938 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 4.967588 -1.03241 14.928350 99.024738 49.286885
1017.390559 2649.569822 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -3.85916 -1.03241 -1.50883 98.045325 59.940407
1051.025719 2597.725707 2 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -0.03241 -0.51266 -2.12411 97.518275 58.650949
4864.013586 3798.293030 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -8.20566 -13.68591 -81.31371 90.527749 145.100464
4775.370991 3744.710014 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 1.140838 -0.37891 -81.48893 89.632382 144.983261
4724.728396 3708.126998 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.794338 -0.37891 -81.84020 89.184511 144.866038
4673.085802 3672.543982 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.621088 -0.20566 -81.75227 89.109954 144.866045
4651.443207 3658.960966 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 3.140838 2.967588 -81.48883 89.483170 144.748885
